"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Gestão de Carrinhos","Criar Carrinho e Finaliza-lo com Sucesso","","0","0","1","0","0"
"Gestão de Carrinhos","Criar e Deletar Carrinho com Sucesso","","0","0","1","0","0"
