"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 30 20:34:24 UTC 2026","Sun Aug 30 20:34:26 UTC 2026","1386","","tests.Serverest.tests.CartTest","","tests.Serverest.tests.CartTest","testCriarEncerrarCarrinho","testCriarEncerrarCarrinho()",""
"passed","Sun Aug 30 20:34:26 UTC 2026","Sun Aug 30 20:34:26 UTC 2026","303","","tests.Serverest.tests.CartTest","","tests.Serverest.tests.CartTest","testCriarDeletarCarrinho","testCriarDeletarCarrinho()",""
